,movie_name,director_name,popularity
103,The Prestige,Christopher Nolan,74
104,Planet of the Apes,Franklin J. Schaffner,49
105,Son of the Bride,Juan J. Campanella,21
106,The Upside of Anger,Mike Binder,15
107,Tell No One,Guillaume Canet,21
108,In the Cut,Jane Campion,23
109,Mr. Deeds,Steven Brill,29
110,Seven Psychopaths,Martin McDonagh,28
111,Argo,Ben Affleck,63
112,A Touch of Spice,Tasos Boulmetis,20
113,Russian Ark,Alexander Sokurov,31
114,Garden State,Zach Braff,28
115,Kiss the Girls,Gary Fleder,29
116,The Sound of Music,Robert Wise,66
117,The Weather Man,Gore Verbinski,24
118,The Twilight Saga: Breaking Dawn – Part 2,Bill Condon,47
119,The Twilight Saga: Breaking Dawn – Part 1,Bill Condon,52
120,Wheels on Meals,Sammo Hung,27
121,Gorgeous,Vincent Kok,20
122,Midnight Cowboy,John Schlesinger,54
123,She Done Him Wrong,Lowell Sherman,28
124,The Sting,George Roy Hill,53
125,Das Boot,Wolfgang Petersen,48
126,Soldier of Orange,Paul Verhoeven,18
127,The Prince of Tides,Barbra Streisand,33
128,The English Patient,Anthony Minghella,67
129,The Woman in the Fifth,Paweł Pawlikowski,18
130,The Three Stooges,Bobby Farrelly,19
131,The Three Stooges,Peter Farrelly,19
132,Silent Hill: Revelation,M. J. Bassett,29
133,Cruel Intentions 2,Roger Kumble,19
134,Cruel Intentions,Roger Kumble,39
135,Find Me Guilty,Sidney Lumet,21
136,The Wild Geese,Andrew V. McLaglen,17
137,District 13,Pierre Morel,36
138,Save the Last Dance,Thomas Carter,29
139,Joyeux Noël,Christian Carion,39
140,Clandestine Childhood,Benjamín Ávila,20
141,A Good Day to Die Hard,John Moore,40
142,Merci pour le chocolat,Claude Chabrol,19
143,A Short Film About Killing,Krzysztof Kieślowski,32
144,Shall We Dance?,Peter Chelsom,30
145,They Live,John Carpenter,40
146,She's the Man,Andy Fickman,42
147,Reservoir Dogs,Quentin Tarantino,67
148,Evil Dead,Fede Álvarez,29
149,Cirque du Soleil: Worlds Away,Andrew Adamson,15
150,Double Jeopardy,Bruce Beresford,29
151,Rust and Bone,Jacques Audiard,32
152,Sadko,Aleksandr Ptushko,23
153,The Seventh Son,Sergei Bodrov,33
154,Whiteout,Len Wiseman,21
155,Whiteout,Dominic Sena,21
156,Whiteout,Stuart Baird,21
157,A Time for Drunken Horses,Bahman Ghobadi,21
158,A Time to Love and a Time to Die,Douglas Sirk,22
159,Tetsuo: The Iron Man,Shinya Tsukamoto,17
160,The Social Network,David Fincher,69
161,Zeitgeist: Addendum,Peter Joseph,19
162,Zeitgeist: Moving Forward,Peter Joseph,20
163,Zeitgeist: The Movie,Peter Joseph,36
164,Borat,Larry Charles,63
165,The Shining,Stanley Kubrick,71
166,The Portrait of a Lady,Jane Campion,22
167,Troy,Wolfgang Petersen,70
168,13,Géla Babluani,23
169,13 Assassins,Takashi Miike,19
170,Thirteen Ghosts,Steve Beck,28
171,The Day the Earth Stood Still,Scott Derrickson,42
172,Au revoir les enfants,Louis Malle,33
173,Virtuosity,Brett Leonard,26
174,Zelig,Woody Allen,34
175,Madonna: Truth or Dare,Alek Keshishian,22
176,Brute Force,Jules Dassin,18
177,Dangerous Beauty,Marshall Herskovitz,18
178,Crash,Paul Haggis,59
179,Primeval,Michael Katleman,17
180,Apocalypto,Mel Gibson,63
181,A Dangerous Method,David Cronenberg,33
182,Rebound,Steve Carr,16
183,Orlando,Sally Potter,19
184,Rocky,John G. Avildsen,66
185,The Bridge on the River Kwai,David Lean,68
186,Rain Man,Barry Levinson,65
187,Mamma Mia!,Phyllida Lloyd,56
188,Batman Returns,Tim Burton,56
189,The Dark Knight Rises,Christopher Nolan,68
190,Jaws,Steven Spielberg,66
191,Seven Samurai,Akira Kurosawa,65
192,The Matrix Reloaded,Lilly Wachowski,64
193,The Matrix Reloaded,Lana Wachowski,64
194,Chicago,Rob Marshall,62
195,Fight Club,David Fincher,96
196,Some Like It Hot,Billy Wilder,75
197,Spider-Man 2,Sam Raimi,66
198,Memento,Christopher Nolan,68
199,Love Actually,Richard Curtis,64
200,Platoon,Oliver Stone,62
201,1492 – Conquest of Paradise,Ridley Scott,42
202,Seven,David Fincher,67
203,Amadeus,Miloš Forman,68
204,Mr. & Mrs. Smith,Doug Liman,58
205,Babel,Alejandro González Iñárritu,57
206,Transformers: Revenge of the Fallen,Michael Bay,56
207,Terminator Salvation,McG,59
208,Broken Embraces,Pedro Almodóvar,33
209,Little Miss Sunshine,Valerie Faris,53
210,Little Miss Sunshine,Jonathan Dayton,53
211,Sin City,Quentin Tarantino,61
212,Sin City,Robert Rodriguez,61
213,Sin City,Frank Miller,61
214,The Limits of Control,Jim Jarmusch,23
215,Broken Flowers,Jim Jarmusch,32
216,Down by Law,Jim Jarmusch,38
217,3D Sex and Zen: Extreme Ecstasy,Christopher Sun,15
218,Prometheus,Ridley Scott,61
219,Iron Man,Jon Favreau,82
220,Angels & Demons,Ron Howard,57
221,Clash of the Titans,Louis Leterrier,50
222,Breakfast at Tiffany's,Blake Edwards,60
223,Sunset Boulevard,Billy Wilder,56
224,Moulin Rouge!,Baz Luhrmann,59
225,Kramer vs. Kramer,Robert Benton,59
226,The Wizard of Oz,King Vidor,61
227,Dawn of the Dead,George A. Romero,31
228,Day of the Dead,George A. Romero,28
229,The Hangover,Todd Phillips,50
230,Kahaani,Sujoy Ghosh,21
231,The Mask,Chuck Russell,67
232,Scary Movie,Keenen Ivory Wayans,51
233,A Walk to Remember,Adam Shankman,48
234,X2,Bryan Singer,60
235,Zombie Strippers,Jay Lee,18
236,Zombieland,Ruben Fleischer,50
237,27 Dresses,Anne Fletcher,44
238,Zoolander,Ben Stiller,39
239,Zoom,Peter Hewitt,20
240,Hancock,Peter Berg,47
241,The Birth of a Nation,D. W. Griffith,55
242,Chocolat,Lasse Hallström,48
243,The Pursuit of Happyness,Gabriele Muccino,56
244,The Hi-Lo Country,Stephen Frears,15
245,American Pie,Chris Weitz,53
246,American Pie,Paul Weitz,53
247,The French Connection,William Friedkin,51
248,City of God,Fernando Meirelles,57
249,City of God,Kátia Lund,57
250,Raging Bull,Martin Scorsese,55
251,Casino,Martin Scorsese,50
252,Erin Brockovich,Steven Soderbergh,50
253,The Nutcracker in 3D,Andrei Konchalovsky,15
254,28 Days Later,Danny Boyle,46
255,Children of Men,Alfonso Cuarón,52
256,28 Days,Betty Thomas,37
257,28 Weeks Later,Danny Boyle,40
258,28 Weeks Later,Juan Carlos Fresnadillo,40
259,28 Weeks Later,Andrew Macdonald,40
260,Halloween,John Carpenter,55
261,The Cell,Tarsem Singh,26
262,The Butterfly Effect,Eric Bress,55
263,The Butterfly Effect,J. Mackye Gruber,55
264,A.I. Artificial Intelligence,Steven Spielberg,56
265,X-Men: The Last Stand,Brett Ratner,58
266,Home Alone 2: Lost in New York,Chris Columbus,61
267,Star Trek: First Contact,Jonathan Frakes,51
268,Tootsie,Sydney Pollack,55
269,Star Trek III: The Search for Spock,Leonard Nimoy,46
270,Batman Forever,Joel Schumacher,53
271,Brink of Life,Ingmar Bergman,20
272,Black Hawk Down,Ridley Scott,51
273,The Maltese Falcon,John Huston,49
274,The Thin Red Line,Terrence Malick,51
275,Mystic River,Clint Eastwood,54
276,Frenzy,Alfred Hitchcock,38
277,As Good as It Gets,James L. Brooks,54
278,La Dernière femme,Marco Ferreri,16
279,Moneyball,Bennett Miller,51
280,Under Capricorn,Alfred Hitchcock,24
281,Ghosts of Girlfriends Past,Mark Waters,33
282,Fahrenheit 9/11,Michael Moore,46
283,Reconstruction,Christoffer Boe,19
284,Total Recall,Paul Verhoeven,51
285,Hairspray,Adam Shankman,42
286,The Musketeer,Peter Hyams,22
287,Pearl Harbor,Michael Bay,55
288,Return to Me,Bonnie Hunt,16
289,Man on a Ledge,Asger Leth,32
290,Little Women,George Cukor,31
291,Barfly,Barbet Schroeder,22
292,What's New Pussycat?,Clive Donner,27
293,What's New Pussycat?,Richard Talmadge,27
294,Quartet,Dustin Hoffman,21
295,1612,Vladimir Khotinenko,23
296,Masculin Féminin,Jean-Luc Godard,19
297,Krull,Peter Yates,21
298,Evan Almighty,Tom Shadyac,44
299,From Dusk till Dawn,Robert Rodriguez,43
300,Love Is All You Need,Susanne Bier,18
301,8 Mile,Curtis Hanson,48
302,Escape Plan,Mikael Håfström,41
303,The Talk of the Town,George Stevens,26
304,The Parallax View,Alan J. Pakula,25
305,Witness for the Prosecution,Billy Wilder,41
306,"Murder, She Said",George Pollock,19
307,The Wolverine,James Mangold,53
308,Saving Silverman,Dennis Dugan,21
309,Monkey Shines,George A. Romero,17
310,A Few Best Men,Stephan Elliott,17
311,17 Again,Burr Steers,38
312,All About Eve,Joseph L. Mankiewicz,65
313,Sherlock Holmes,Guy Ritchie,64
314,Godzilla vs. Hedorah,Yoshimitsu Banno,19
315,Stalker,Andrei Tarkovsky,57
316,"I, Robot",Alex Proyas,58
317,Notting Hill,Roger Michell,54
318,Predator,John McTiernan,62
319,The Wicker Man,Neil LaBute,25
320,The Lost World: Jurassic Park,Steven Spielberg,62
321,Captain Horatio Hornblower R.N.,Raoul Walsh,24
322,My Fair Lady,George Cukor,58
323,The Adventures of Robin Hood,Michael Curtiz,44
324,The Adventures of Robin Hood,William Keighley,44
325,Roman Holiday,William Wyler,63
326,Forgetting Sarah Marshall,Nicholas Stoller,35
327,The Deer Hunter,Michael Cimino,57
328,Milk,Gus Van Sant,60
329,District 9,Neill Blomkamp,54
330,Heima,Dean DeBlois,15
331,The Aviator,Martin Scorsese,64
332,War of the Worlds,Steven Spielberg,56
333,Bringing Down the House,Adam Shankman,21
334,Gandhi,Richard Attenborough,65
335,Murders in the Rue Morgue,Robert Florey,16
336,The Godfather Part III,Francis Ford Coppola,70
337,Vertigo,Alfred Hitchcock,62
338,Maximum Overdrive,Stephen King,22
339,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,84
340,Roadside Romeo,Jugal Hansraj,15
341,Scarface,Brian De Palma,63
342,Taxi Driver,Martin Scorsese,70
343,Fat Girl,Catherine Breillat,17
344,Lincoln,Steven Spielberg,54
345,That's My Boy,Sean Anders,25
346,Johnny Stecchino,Roberto Benigni,15
347,The Monster,Roberto Benigni,16
348,Life is Beautiful,Roberto Benigni,76
349,Pinocchio,Roberto Benigni,17
350,The Tiger and the Snow,Roberto Benigni,24
351,Whale Rider,Niki Caro,27
352,The Ninth Gate,Roman Polanski,47
353,Dances with Wolves,Kevin Costner,64
354,Yojimbo,Akira Kurosawa,48
355,Signs,M. Night Shyamalan,44
356,Do Bigha Zamin,Bimal Roy,20
357,Fear and Loathing in Las Vegas,Terry Gilliam,46
358,The Brest Fortress,Alexander Kott,26
359,Abbott and Costello in the Foreign Legion,Charles Lamont,16
360,The Hidden Face,Andrés Baiz,23
361,Shaolin,Benny Chan,19
362,Family Plot,Alfred Hitchcock,32
363,Saturday Night Fever,John Badham,44
364,The Godfather,Francis Ford Coppola,123
365,Marmaduke,Tom Dey,29
366,Liar Liar,Tom Shadyac,47
367,Married to the Mob,Jonathan Demme,25
368,Ghost,Jerry Zucker,56
369,Fly Away Home,Carroll Ballard,22
370,Message in a Bottle,Luis Mandoki,26
371,The Black Windmill,Don Siegel,20
372,Deep Impact,Mimi Leder,41
373,All Good Things,Andrew Jarecki,21
374,Stagecoach,John Ford,47
375,Live Free or Die Hard,Len Wiseman,55
376,It Came from Beneath the Sea,Robert Gordon,17
377,Eugene Onegin,Vasily Goncharov,16
378,Onegin,Martha Fiennes,16
379,Men in Black,Barry Sonnenfeld,62
380,The Passion of the Christ,Mel Gibson,58
381,Curse of the Golden Flower,Zhang Yimou,30
382,The King and the Clown,Lee Joon-ik,20
383,The Patriots,Boris Barnet,18
384,Hopscotch,Ronald Neame,15
385,Moscow Does Not Believe in Tears,Vladimir Menshov,52
386,Sátántangó,Béla Tarr,18
387,"Pepi, Luci, Bom",Pedro Almodóvar,22
388,Looper,Rian Johnson,44
389,Pirates of the Caribbean: At World's End,Gore Verbinski,80
390,Sexmission,Juliusz Machulski,26
391,How I Unleashed World War II,Tadeusz Chmielewski,15
392,Miracle of Marcelino,Ladislao Vajda,19
393,Masters of the Universe,Gary Goddard,31
394,Places in the Heart,Robert Benton,27
395,Mutiny on the Bounty,Carol Reed,34
396,Mutiny on the Bounty,Lewis Milestone,34
397,Hachi: A Dog's Tale,Lasse Hallström,45
398,Arsenic and Old Lace,Frank Capra,32
399,Johnny Guitar,Nicholas Ray,34
400,The Mortal Instruments: City of Bones,Harald Zwart,40
401,Citizen Kane,Orson Welles,78
402,Monty Python’s Life of Brian,Terry Jones,58
403,Monty Python's The Meaning of Life,Terry Jones,35
404,Brazil,Terry Gilliam,48
405,American Beauty,Sam Mendes,75
406,Inception,Christopher Nolan,96
407,Testament of Orpheus,Jean Cocteau,16
408,The American Soldier,Rainer Werner Fassbinder,17
409,Cast a Giant Shadow,Melville Shavelson,21
410,Kings of the Sun,J. Lee Thompson,17
411,Tokyo Story,Yasujirō Ozu,42
412,Knight Moves,Carl Schenkel,19
413,What Ever Happened to Baby Jane?,Robert Aldrich,33
414,Wildcats,Michael Ritchie,19
415,Moon,Duncan Jones,36
416,Joy Ride,John Dahl,25
417,Hamlet,Laurence Olivier,43
418,Live and Let Die,Guy Hamilton,56
419,The People Under the Stairs,Wes Craven,21
420,Warm Bodies,Jonathan Levine,36
421,Scream,Wes Craven,56
422,Jack the Giant Slayer,Bryan Singer,41
423,The Hills Have Eyes Part II,Wes Craven,23
424,Gangster Squad,Ruben Fleischer,41
425,The New World,Terrence Malick,34
426,World War Z,Marc Forster,52
427,Les Misérables,Tom Hooper,50
428,The Master,Tsui Hark,16
429,Basic,John McTiernan,28
430,Cloud Atlas,Tom Tykwer,48
431,Cloud Atlas,Lilly Wachowski,48
432,Cloud Atlas,Lana Wachowski,48
433,The Watch,Akiva Schaffer,28
434,Mama,Andy Muschietti,35
435,Aimée & Jaguar,Max Färberböck,15
436,To Rome with Love,Woody Allen,33
437,Apollo 18,Gonzalo López-Gallego,25
438,Jour de Fête,Jacques Tati,22
439,Life or Something Like It,Stephen Herek,27
440,Die Another Day,Lee Tamahori,62
441,The Seventh Victim,Mark Robson,17
442,Assassination Games,Ernie Barbarash,23
443,The Company Men,John Wells,24
444,Reap the Wild Wind,Cecil B. DeMille,20
445,On the Town,Stanley Donen,27
446,On the Town,Gene Kelly,27
447,The Nutty Professor,Jerry Lewis,27
448,The Hunt,Thomas Vinterberg,41
449,Killer Joe,William Friedkin,22
450,The Wizard of Oz,Victor Fleming,61
451,Good Will Hunting,Gus Van Sant,66
452,Friends with Money,Nicole Holofcener,22
453,Fargo,Joel Coen,58
454,Fargo,Ethan Coen,58
455,Knocked Up,Judd Apatow,41
456,2 Fast 2 Furious,John Singleton,54
457,It Could Happen to You,Andrew Bergman,22
458,Jumanji,Joe Johnston,57
459,Inside Daisy Clover,Robert Mulligan,18
460,A Patch of Blue,Guy Green,20
461,North by Northwest,Alfred Hitchcock,56
462,A New Leaf,Elaine May,16
463,Diary of a Wimpy Kid,Thor Freudenthal,33
464,Blood Diamond,Edward Zwick,52
465,Just like Heaven,Mark Waters,36
466,A Lot Like Love,Nigel Cole,23
467,A Fistful of Dollars,Sergio Leone,62
468,A Fistful of Dollars,Monte Hellman,62
469,The Chess Players,Satyajit Ray,19
470,Cat Ballou,Elliot Silverstein,30
471,Intimacy,Patrice Chéreau,22
472,Paparazzi,Paul Abascal,19
473,Night of the Creeps,Fred Dekker,16
474,Juno,Jason Reitman,53
475,Anna Karenina,Joe Wright,42
476,Repentance,Tengiz Abuladze,25
477,Ken Park,Edward Lachman,19
478,Ken Park,Larry Clark,19
479,The Hobbit: An Unexpected Journey,Peter Jackson,71
480,Baran,Majid Majidi,16
481,Illustrious Corpses,Francesco Rosi,23
482,The Color of Paradise,Majid Majidi,23
483,My Friends,Mario Monicelli,19
484,A Short Film About Love,Krzysztof Kieślowski,23
485,Elysium,Neill Blomkamp,45
486,Step Up 3D,Jon M. Chu,29
487,Step Up Revolution,Scott Speer,23
488,The Eagle,Kevin Macdonald,27
489,Inside Man,Spike Lee,40
490,Step Up 2: The Streets,Jon M. Chu,34
491,Walter Defends Sarajevo,Hajrudin Krvavac,16
492,Radio,Michael Tollin,17
493,Foxes,Adrian Lyne,15
494,Rocky V,John G. Avildsen,43
495,2 Girls 1 Cup,Marco Fiorito,34
496,The Matrix,Lilly Wachowski,108
497,The Matrix,Lana Wachowski,108
498,Resident Evil: Retribution,Paul W. S. Anderson,36
499,Sisters,"Sergey Bodrov, Jr.",18
500,The Skulls,Rob Cohen,21
501,My Life Without Me,Isabel Coixet,24
502,Private Benjamin,Howard Zieff,25
503,Kinsey,Bill Condon,29
504,He Loves Me... He Loves Me Not,Lætitia Colombani,21
505,December Boys,Rod Hardy,24
506,The Ladykillers,Joel Coen,31
507,The Ladykillers,Ethan Coen,31
508,The Blue Lagoon,Randal Kleiser,44
509,Calendar Girls,Nigel Cole,19
510,Anna Karenina,Bernard Rose,26
511,Johnny Got His Gun,Dalton Trumbo,32
512,Breathless,Jean-Luc Godard,48
513,Back to the Future,Robert Zemeckis,97
514,Water Lilies,Céline Sciamma,17
515,Mein Führer – Die wirklich wahrste Wahrheit über Adolf Hitler,Dani Levy,18
516,"Love, Wedding, Marriage",Dermot Mulroney,15
517,The Man from Earth,Richard Schenkman,34
518,Joint Security Area,Park Chan-wook,22
519,Queen of the Damned,Michael Rymer,31
520,Don't Make Waves,Alexander Mackendrick,16
521,One Eight Seven,Kevin Reynolds,19
522,1408,Mikael Håfström,39
523,A Room with a View,James Ivory,36
524,Halloween III: Season of the Witch,Tommy Lee Wallace,32
525,Philadelphia,Jonathan Demme,52
526,It's a Wonderful Life,Frank Capra,64
527,Rebecca,Alfred Hitchcock,61
528,The Help,Tate Taylor,56
529,Octopussy,John Glen,57
530,Juggernaut,Richard Lester,18
531,An Inconvenient Truth,Davis Guggenheim,47
532,Addams Family Values,Barry Sonnenfeld,35
533,The Twelve Chairs,Mel Brooks,20
534,Iron Man 2,Jon Favreau,72
535,The Killers,Robert Siodmak,30
536,Ocean's Eleven,Steven Soderbergh,59
537,The Wolfman,Joe Johnston,38
538,Batman,Lambert Hillyer,19
539,Number Seventeen,Alfred Hitchcock,18
540,Midnight in Paris,Woody Allen,62
541,1911,Jackie Chan,24
542,1911,Zhang Li,24
543,The Runaways,Floria Sigismondi,21
544,The Expendables,Sylvester Stallone,56
545,Once Upon a Time in America,Sergio Leone,57
546,Excalibur,John Boorman,35
547,The Blind Side,John Lee Hancock,48
548,Hugo,Martin Scorsese,62
549,A Civil Action,Steven Zaillian,19
550,The Last Samurai,Edward Zwick,61
551,1941,Steven Spielberg,37
552,The Matrix Revolutions,Lilly Wachowski,64
553,The Matrix Revolutions,Lana Wachowski,64
554,From Here to Eternity,Fred Zinnemann,56
555,Kingdom of Heaven,Ridley Scott,60
556,Bruce Almighty,Tom Shadyac,54
557,Tomorrow Never Dies,Roger Spottiswoode,59
558,Chariots of Fire,Hugh Hudson,54
559,Pretty Woman,Garry Marshall,58
560,Catch Me If You Can,Steven Spielberg,69
561,Finding Neverland,Marc Forster,49
562,The Green Mile,Frank Darabont,74
563,Out of Africa,Sydney Pollack,53
564,Eternal Sunshine of the Spotless Mind,Michel Gondry,62
565,Armageddon,Michael Bay,55
566,Nineteen Eighty-Four,Michael Radford,35
567,American History X,Tony Kaye,60
568,Sleepy Hollow,Tim Burton,52
569,It Happened One Night,Frank Capra,54
570,Sleuth,Kenneth Branagh,21
571,Eyes Wide Shut,Stanley Kubrick,59
572,The Ward,John Carpenter,22
573,Iron Man 3,Shane Black,69
574,Volver,Pedro Almodóvar,45
575,The Color Purple,Steven Spielberg,43
576,The Devil Wears Prada,David Frankel,53
577,The Queen,Stephen Frears,43
578,The Notebook,Nick Cassavetes,54
579,Robin Hood,Ridley Scott,57
580,X-Men: First Class,Matthew Vaughn,53
581,Hotel Rwanda,Terry George,52
582,Face/Off,John Woo,47
583,Topaz,Alfred Hitchcock,45
584,The Island,Michael Bay,46
585,30 Days of Night,David Slade,35
586,Fantastic Four,Tim Story,53
587,30 Minutes or Less,Ruben Fleischer,26
588,13 Going on 30,Gary Winick,36
589,The Devil's Advocate,Taylor Hackford,50
590,A Self Made Hero,Jacques Audiard,15
591,The Blob,Irvin Yeaworth,26
592,Lovers of the Arctic Circle,Julio Médem,19
593,Snake in the Eagle's Shadow,Yuen Woo-ping,27
594,Last Year at Marienbad,Alain Resnais,38
595,Gervaise,René Clément,22
596,Fort Saganne,Alain Corneau,17
597,Daylight,Rob Cohen,37
598,Universal Soldier: The Return,Mic Rodgers,26
599,Wrath of the Titans,Jonathan Liebesman,42
600,Too Beautiful for You,Bertrand Blier,17
601,Too Late the Hero,Robert Aldrich,17
602,36 Quai des Orfèvres,Olivier Marchal,20
603,Lawrence of Arabia,David Lean,71
604,The Accidental Husband,Griffin Dunne,23
605,Train of Life,Radu Mihăileanu,18
606,Imagine That,Karey Kirkpatrick,21
607,99 Francs,Jan Kounen,16
608,Zulu,Cy Endfield,24
609,Failure to Launch,Tom Dey,29
610,Au Hasard Balthazar,Robert Bresson,27
611,Just My Luck,Donald Petrie,32
612,Brewster's Millions,Walter Hill,24
613,Charlie's Angels,McG,44
614,Charlie's Angels: Full Throttle,McG,37
615,3 Idiots,Rajkumar Hirani,58
616,To Hell and Back,Jesse Hibbs,16
617,In Country,Norman Jewison,15
618,Fireflies in the Garden,Dennis Lee,22
619,Hunting and Gathering,Claude Berri,21
620,Two Brothers,Jean-Jacques Annaud,27
621,Butch Cassidy and the Sundance Kid,George Roy Hill,50
622,Harry Potter and the Deathly Hallows – Part 2,David Yates,76
623,Les Biches,Claude Chabrol,17
624,Mujhse Shaadi Karogi,David Dhawan,16
625,"All the Way, Boys",Giuseppe Colizzi,16
626,La Traversée de Paris,Claude Autant-Lara,21
627,Two English Girls,François Truffaut,23
628,The Fearless Hyena,Jackie Chan,22
629,A World Apart,Chris Menges,15
630,Orphans of the Storm,D. W. Griffith,25
631,One Day,Lone Scherfig,31
632,Crime Busters,Enzo Barboni,17
633,Two for the Road,Stanley Donen,30
634,Two or Three Things I Know About Her,Jean-Luc Godard,16
635,40 Days and 40 Nights,Michael Lehmann,28
636,Gunfight at the O.K. Corral,John Sturges,26
637,Way Out West,James W. Horne,18
638,Two Rode Together,John Ford,23
639,Two of a Kind,John Herzfeld,15
640,Stir Crazy,Sidney Poitier,18
641,"Watch Out, We're Mad!",Marcello Fondato,22
642,Transformers: Dark of the Moon,Michael Bay,57
643,Annie Hall,Woody Allen,65
644,The Raven,James McTeigue,22
645,La Vie en Rose,Olivier Dahan,46
646,Marty,Delbert Mann,45
647,Marty,Paul Helmick,45
648,The Lost Weekend,Billy Wilder,50
649,Barton Fink,Joel Coen,42
650,Barton Fink,Ethan Coen,42
651,Blood Simple,Joel Coen,39
652,Blood Simple,Ethan Coen,39
653,City Lights,Charlie Chaplin,56
654,"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,42
655,An Unfinished Life,Lasse Hallström,21
656,Wedding Crashers,David Dobkin,37
657,Eragon,Stefen Fangmeier,46
658,Wild Strawberries,Ingmar Bergman,56
659,Outland,Peter Hyams,25
